0.0 0
0.0022056 4294967295
ssthresh 0.659371: 14280
ssthresh 0.660002: 14280
ssthresh 0.660632: 14280
ssthresh 0.661262: 14280
ssthresh 0.661893: 14280
ssthresh 0.662523: 14280
ssthresh 0.663154: 14280
ssthresh 0.663784: 14280
ssthresh 0.664414: 14280
ssthresh 0.665045: 14280
ssthresh 0.665675: 14280
ssthresh 0.666306: 14280
ssthresh 0.666936: 14280
ssthresh 0.667566: 14280
ssthresh 0.668197: 14280
ssthresh 0.668827: 14280
ssthresh 0.669458: 14280
ssthresh 0.670088: 14280
ssthresh 0.670718: 14280
ssthresh 0.671349: 14280
ssthresh 0.671979: 14280
ssthresh 0.67261: 14280
ssthresh 0.67324: 14280
ssthresh 0.67387: 14280
ssthresh 0.674501: 14280
ssthresh 0.675131: 14280
ssthresh 0.675762: 14280
ssthresh 0.676392: 14280
ssthresh 0.677022: 14280
ssthresh 0.677653: 14280
ssthresh 0.678283: 14280
ssthresh 0.678914: 14280
ssthresh 0.679544: 14280
ssthresh 0.680174: 14280
ssthresh 0.680805: 14280
ssthresh 0.681435: 14280
ssthresh 0.682066: 14280
ssthresh 0.682696: 14280
ssthresh 0.683326: 14280
ssthresh 0.683957: 14280
ssthresh 0.684587: 14280
ssthresh 0.685218: 14280
ssthresh 0.685848: 14280
ssthresh 0.686478: 14280
ssthresh 0.687109: 14280
ssthresh 0.687739: 14280
ssthresh 0.68837: 14280
ssthresh 0.689: 14280
ssthresh 0.68963: 14280
ssthresh 0.690261: 14280
ssthresh 0.690891: 14280
ssthresh 0.691522: 14280
ssthresh 0.692152: 14280
ssthresh 0.692782: 14280
ssthresh 0.693413: 14280
ssthresh 0.694043: 14280
ssthresh 0.694674: 14280
ssthresh 0.695304: 14280
